authors,title,journal,year,month,volume_issue,pages,doi,url,featured,ignore,themes,lab_authors,pdf_url,code_url,brief_url,ppt_url,press_url,image_filename,summary,abstract,system,response
"Cui, Can; Guan, Dabo; Wang, Daoping; Meng, Jing; Chemutai, Vicky; Brenton, Paul; Zhang, Shaohui; Shan, Yuli; Zhang, Qiang; Davis, Steven",Global mitigation efforts cannot neglect emerging emitters,National Science Review,2022,4,9(12),nwac223,10.1093/nsr/nwac223,https://academic.oup.com/nsr/article-abstract/9/12/nwac223/6763423,FALSE,,"energy,emissions",steve-davis,,,,,,,Rapidly growing emissions from 59 emerging economies could undermine global climate targets without targeted mitigation efforts.,"International efforts to avoid dangerous climate change have historically focused on reducing energy-related CO‚Äö√á√á emissions from countries with either the largest economies (e.g. the EU and the USA) and/or the largest populations (e.g. China and India). However, in recent years, emissions have surged among a different and much less-examined group of countries, raising concerns that a next generation of high-emitting economies will obviate current mitigation targets. Here, we analyse the trends and drivers of emissions in each of the 59 countries where emissions in 2010‚Äö√Ñ√¨2018 grew faster than the global average (excluding China and India), project their emissions under a range of longer-term energy scenarios and estimate the costs of decarbonization pathways. Total emissions from these ‚Äö√Ñ√≤emerging emitters‚Äö√Ñ√¥ reach as much as 7.5 GtCO 2 /year in the baseline 2.5¬¨‚àû scenario‚Äö√Ñ√Æsubstantially greater than the ‚Äö√Ñ¬∂",energy,mitigation
Chris D. Jones; Philippe Ciais; Steven J. Davis; Pierre Friedlingstein; Thomas Gasser; Glen P. Peters; Joeri Rogelj; Detlef P. van Vuuren; Josep G. Canadell; Annette Cowie; Robert B. Jackson; Matthias Jonas; Elmar Kriegler; Emma Littleton; Jason A. Lowe; Jennifer Milne; Gyami Shrestha; Pete Smith; Asbjørn Torvanger; Andy Wiltshire,Simulating the Earth system response to negative emissions,Environmental Research Letters,2016,9,11(9),95012,10.1088/1748-9326/11/9/095012,https://doi.org/10.1088/1748-9326/11/9/095012/meta,FALSE,,carbon management,steve-davis,,,,,,,Earth system models show ocean and land carbon sinks may weaken significantly under low-emissions scenarios needed to meet climate targets.,"Natural carbon sinks currently absorb approximately half of the anthropogenic CO‚Äö√á√á emitted by fossil fuel burning, cement production and land-use change. However, this airborne fraction may change in the future depending on the emissions scenario. An important issue in developing carbon budgets to achieve climate stabilisation targets is the behaviour of natural carbon sinks, particularly under low emissions mitigation scenarios as required to meet the goals of the Paris Agreement. A key requirement for low carbon pathways is to quantify the effectiveness of negative emissions technologies which will be strongly affected by carbon cycle feedbacks. Here we find that Earth system models suggest significant weakening, even potential reversal, of the ocean and land sinks under future low emission scenarios. For the RCP2.6 concentration pathway, models project land and ocean sinks to weaken to 0.8 ¬¨¬± 0.9 and 1 ‚Äö√Ñ¬∂",,mitigation:carbon-management
"Davis, Steven J.",Predicting unpredictability,Nature Energy,2018,3,3(4),257-258,10.1038/s41560-018-0127-y,https://doi.org/10.1038/s41560-018-0127-y,FALSE,,energy,steve-davis,,,,,,,Energy markets are becoming more volatile and harder to predict as the industry shifts toward less predictable supply and demand patterns.,"Analysts and markets have struggled to predict a number of phenomena, such as the rise of natural gas, in US energy markets over the past decade or so. Research shows the challenge may grow because the industry ‚Äî and consequently the market ‚Äî is becoming increasingly volatile.",energy,
"Davis, Steven J.; Alexander, Kathleen; Moreno-Cruz, Juan; Hong, Chaopeng; Shaner, Matthew; Caldeira, Ken; McKay, Ian",Food without agriculture,Nature Sustainability,2023,11,7(1),90-95,10.1038/s41893-023-01241-2,https://www.nature.com/articles/s41893-023-01241-2,FALSE,,"food,land,emissions",steve-davis,,,,,,,Synthesizing dietary fats chemically could cut greenhouse gas emissions by over half compared to conventional palm oil production.,"Efforts to make food systems more sustainable have emphasized reducing adverse environmental impacts of agriculture. In contrast, chemical and biological processes that could produce food without agriculture have received comparatively little attention or resources. Although there is a possibility that someday a wide array of attractive foods could be produced chemosynthetically, here we show that dietary fats could be synthesized with <0.8 g CO‚Äö√á√á -eq kcal ‚Äö√†√≠1 , which is much less than the >1.5 g CO‚Äö√á√á -eq kcal ‚Äö√†√≠1 now emitted to produce palm oil in Brazil or Indonesia. Although scaling up such synthesis could disrupt agricultural economies and depend on consumer acceptance, the enormous potential reductions in greenhouse gas emissions as well as in land and water use represent a realistic possibility for mitigating the environmental footprint of agriculture over the coming decade.",food,mitigation
"Davis, Steven J.; Burney, Jennifer A.; Pongratz, Julia; Caldeira, Ken",Methods for attributing land-use emissions to products,Carbon Management,2014,3,5(2),233-245,10.1080/17583004.2014.913867,https://doi.org/10.1080/17583004.2014.913867,FALSE,,"food,land,emissions",steve-davis,,,,,,,Researchers developed methods to assign emissions from land conversion and agricultural practices to specific products consumers buy.,"Land-use change and land-use activities are major sources of the anthropogenic GHG emissions that cause climate change, totalling approximately a third (~ 31%) of all such emissions in recent years [1‚Äö√Ñ√¨3]. Landuse activities are practices on land that have some consistent and particular use (eg, agriculture). Land-use change is the conversion of land from one use to another use. Together, net emissions from land-use activities and land-use change can be referred to as ‚Äö√Ñ√≤land-use emissions‚Äö√Ñ√¥. A few processes make up most of these land-use emissions: CO‚Äö√á√á emissions result from clearing of forests, when the harvested, cut or disturbed biomass decays or is burned. CO‚Äö√á√á emissions also result from seasonal burning of agricultural residues or prescribed burning of savannas and scrubland. Nitrogen in biomass, animal manure and nitrogenous fertilizers is released from soils as nitrous oxide [4, 5]. Methane is produced ‚Äö√Ñ¬∂",food,mitigation
"Davis, Steven J.; Caldeira, Ken",Consumption-based accounting of CO‚Äö√á√á emissions,Proceedings of the National Academy of Sciences,2010,3,107(12),5687,10.1073/pnas.0906974107,https://doi.org/10.1073/pnas.0906974107,FALSE,,"trade,emissions",steve-davis,,,,,,,"Consumption-based accounting reveals that rich countries outsource 23% of their emissions through imports, primarily from China and emerging economies.","CO‚Äö√á√á emissions from the burning of fossil fuels are the primary cause of global warming. Much attention has been focused on the CO‚Äö√á√á directly emitted by each country, but relatively little attention has been paid to the amount of emissions associated with the consumption of goods and services in each country. Consumption-based accounting of CO‚Äö√á√á emissions differs from traditional, production-based inventories because of imports and exports of goods and services that, either directly or indirectly, involve CO‚Äö√á√á emissions. Here, using the latest available data, we present a global consumption-based CO‚Äö√á√á emissions inventory and calculations of associated consumption-based energy and carbon intensities. We find that, in 2004, 23% of global CO‚Äö√á√á emissions, or 6.2 gigatonnes CO‚Äö√á√á , were traded internationally, primarily as exports from China and other emerging markets to consumers in developed countries. In some ‚Äö√Ñ¬∂",,"mitigation:trade,mitigation"
"Davis, Steven J.; Caldeira, Ken; Damon Matthews, H.",Future CO‚Äö√á√á emissions and climate change from existing energy infrastructure,Science,2010,9,329(5997),1330,10.1126/science.1188566,https://doi.org/10.1126/science.1188566,FALSE,,"energy,emissions",steve-davis,,,,,,,"Existing energy infrastructure will emit enough CO‚Äö√á√á by 2060 to warm the planet 1.3 ¬¨‚àûC, but most dangerous future emissions come from infrastructure not yet built.","Slowing climate change requires overcoming inertia in political, technological, and geophysical systems. Of these, only geophysical warming commitment has been quantified. We estimated the commitment to future emissions and warming represented by existing carbon dioxide‚Äö√Ñ√¨emitting devices. We calculated cumulative future emissions of 496 (282 to 701 in lower- and upper-bounding scenarios) gigatonnes of CO‚Äö√á√á from combustion of fossil fuels by existing infrastructure between 2010 and 2060, forcing mean warming of 1.3¬¨‚àûC (1.1¬¨‚àû to 1.4¬¨‚àûC) above the pre-industrial era and atmospheric concentrations of CO‚Äö√á√á less than 430 parts per million. Because these conditions would likely avoid many key impacts of climate change, we conclude that sources of the most threatening emissions have yet to be built. However, CO‚Äö√á√á -emitting infrastructure will expand unless extraordinary efforts are undertaken to develop ‚Äö√Ñ¬∂",energy,mitigation
"Davis, Steven J.; Cao, Long; Caldeira, Ken; Hoffert, Martin I.",Rethinking wedges,Environmental Research Letters,2013,1,8(1),11001,10.1088/1748-9326/8/1/011001,https://doi.org/10.1088/1748-9326/8/1/011001/meta,FALSE,,"energy,emissions",steve-davis,,,,,,,Reaching climate targets requires deploying about 19 major emission-reduction strategies and scaling up carbon-free energy to tens of terawatts globally.,"Stabilizing CO‚Äö√á√á emissions at current levels for fifty years is not consistent with either an atmospheric CO‚Äö√á√á concentration below 500 ppm or global temperature increases below 2 C. Accepting these targets, solving the climate problem requires that emissions peak and decline in the next few decades, and ultimately fall to near zero. Phasing out emissions over 50 years could be achieved by deploying on the order of 19 ‚Äö√Ñ√≤wedges‚Äö√Ñ√¥, each of which ramps up linearly over a period of 50 years to ultimately avoid 1 GtC y‚Äö√†√≠ 1 of CO‚Äö√á√á emissions. But this level of mitigation will require affordable carbon-free energy systems to be deployed at the scale of tens of terawatts. Any hope for such fundamental and disruptive transformation of the global energy system depends upon coordinated efforts to innovate, plan, and deploy new transportation and energy systems that can provide affordable energy at this scale without emitting CO ‚Äö√Ñ¬∂",energy,mitigation
"Davis, Steven J.; Dickinson, William R.; Gehrels, George E.; Spencer, Jon E.; Lawton, Timothy F.; Carroll, Alan R.",The Paleogene California River: evidence of Mojave-Uinta paleodrainage from U-Pb ages of detrital zircons,Geology,2010,10,38(10),931-934,10.1130/g31250.1,https://doi.org/10.1130/g31250.1,FALSE,,energy,steve-davis,,,,,,,Detrital zircons reveal a Paleogene river flowed 700 km from the Mojave arc northeast to Utah's Uinta Basin.,"U-Pb age spectra of detrital zircons in samples from the Paleogene Colton Formation in the Uinta Basin of northeastern Utah and the Late Cretaceous McCoy Mountains Formation of southwestern Arizona (United States) are statistically indistinguishable. This finding refutes previous inferences that arkosic detritus of the Colton was derived from cratonic basement exposed by Laramide tectonism, and instead establishes the Cordilleran magmatic arc (which also provided sediment to the McCoy Mountains Formation) as the primary source. Given the existence of a north-south‚Äö√Ñ√¨trending drainage divide in eastern Nevada and the north-northeast direction of Laramide paleoflow throughout Arizona and southern Utah, we infer that a large river system headed in the arc of the Mojave region flowed northeast ‚Äö√†¬∫700 km to the Uinta Basin. Named after its source area, this Paleogene California River would have been ‚Äö√Ñ¬∂",energy,
"Davis, Steven J.; Diffenbaugh, Noah",Dislocated interests and climate change,Environmental Research Letters,2016,5,11,61001,10.1088/1748-9326/11/6/061001,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/061001,FALSE,,"energy,emissions",steve-davis,,,,,,,Developing regions face the largest temperature increases despite contributing minimally to cumulative historical carbon emissions.,"The predicted effects of climate change on surface temperatures are now emergent and quantifiable. The recent letter by Hansen and Sato (2016 Environ. Res. Lett. 11 034009) adds to a growing number of studies showing that warming over the past four decades has shifted the distribution of temperatures higher almost everywhere, with the largest relative effects on summer temperatures in developing regions such as Africa, South America, southeast Asia, and the Middle East (e.g., Diffenbaugh and Scherer 2011 Clim. Change 107 615‚Äö√Ñ√¨24; Anderson 2011 Clim. Change 108 581; Mahlstein et al 2012 Geophys. Res. Lett. 39 L21711). Hansen and Sato emphasize that although these regions are warming disproportionately, their role in causing climate change‚Äö√Ñ√Æmeasured by cumulative historical CO‚Äö√á√á emissions produced‚Äö√Ñ√Æis small ‚Äö√Ñ¬∂",energy,mitigation
"Davis, Steven J.; Dodder, Rebecca S.; Turner, David D.; Azevedo, Ines M.; Bazilian, Morgan; Bistline, John; Carley, Sanya; Clack, Christopher T.; Fargione, Joseph E.; Grubert, Emily; Hill, Jason; Hollis, Adrienne L.; Jenn, Alan; Jones, Ryan A.; Masanet, Eric; Mayfield, Erin N.; Muratori, Matteo; Peng, Wei; Sellers, Brittany C.",Mitigation,Green Cities: An A-to-Z Guide,2023,,,,10.4135/9781412973816.n103,https://milwaukee.pauldavis.com/wp-content/uploads/sites/964/2016/04/PaulDavis_CampusMap_2016.pdf,FALSE,IGNORE,"energy,emissions",steve-davis,,,,,,,,,energy,mitigation
"Davis, Steven J.; Dumit, Andrew; Li, Mo; Maldonado, Yohanna; Steffen, Michael; Stevenson, Martha; Boldyreva, Tatiana; Suh, Sangwon",The importance of multiregional accounting for corporate carbon emissions,Nature Communications,2025,12,17(1),10-Jan,10.1038/s41467-025-67759-5,https://doi.org/10.1038/s41467-025-67759-5,TRUE,,"trade,emissions",steve-davis,,,,,,atport.jpg,"Using single-region models underestimates corporate supply chain emissions by roughly 10%, or 2.0 gigatons CO‚ÇÇ-equivalent annually.","Corporations routinely use environmentally-extended input-output models to estimate and report greenhouse gas emissions upstream in their supply chains. However, the most widely used models assume that supply chains and emissions intensities of industries match those of a single region‚Äîusually the U.S. or the U.K. Here, we use a high-resolution multiregional input-output model to demonstrate the scale and pattern of emissions that may be missed by single-region models. We find that the upstream emissions of the companies reporting to CDP are together greater by 2.0 gigatons of CO‚ÇÇ -equivalent emissions (~10%) when estimated by a multiregional model instead of a U.S.-based single-region model, with the largest differences in manufacturing sectors of moderate emissions intensity. Widespread adoption of multiregional models could thus improve the accuracy of corporate emissions inventories and ‚Ä¶",,"mitigation:trade,mitigation"
"Davis, Steven J.; Lewis, Nathan S.; Shaner, Matthew; Aggarwal, Sonia; Arent, Doug; Azevedo, In‚àö‚Ñ¢s L.; Benson, Sally M.; Bradley, Thomas; Brouwer, Jack; Chiang, Yet-Ming; Clack, Christopher T. M.; Cohen, Armond; Doig, Stephen; Edmonds, Jae; Fennell, Paul; Field, Christopher B.; Hannegan, Bryan; Hodge, Bri-Mathias; Hoffert, Martin I.; Ingersoll, Eric; Jaramillo, Paulina; Lackner, Klaus S.; Mach, Katharine J.; Mastrandrea, Michael; Ogden, Joan; Peterson, Per F.; Sanchez, Daniel L.; Sperling, Daniel; Stagner, Joseph; Trancik, Jessika E.; Yang, Chi-Jen; Caldeira, Ken",Net-zero emissions energy systems,Science,2018,6,360,1419,10.1126/science.aas9793,https://doi.org/10.1126/science.aas9793,FALSE,,"energy,land",steve-davis,,,,,,,"Decarbonizing energy requires electrification where possible, but aviation, shipping, and cement production need alternative approaches like carbon capture.","BACKGROUND Net emissions of CO‚Äö√á√á by human activities‚Äö√Ñ√Æincluding not only energy services and industrial production but also land use and agriculture‚Äö√Ñ√Æmust approach zero in order to stabilize global mean temperature. Energy services such as light-duty transportation, heating, cooling, and lighting may be relatively straightforward to decarbonize by electrifying and generating electricity from variable renewable energy sources (such as wind and solar) and dispatchable (‚Äö√Ñ√∫on-demand‚Äö√Ñ√π) nonrenewable sources (including nuclear energy and fossil fuels with carbon capture and storage). However, other energy services essential to modern civilization entail emissions that are likely to be more difficult to fully eliminate. These difficult-to-decarbonize energy services include aviation, long-distance transport, and shipping; production of carbon-intensive structural materials such as steel and cement; and provision of a ‚Äö√Ñ¬∂","energy,food",
"Davis, Steven J.; Liu, Zhu; Deng, Zhu; Zhu, Biqing; Ke, Piyu; Sun, Taochun; Guo, Rui; Hong, Chaopeng; Zheng, Bo; Wang, Yilong; Boucher, Olivier; Gentine, Pierre; Ciais, Philippe",Emissions rebound from the COVID-19 pandemic,Nature Climate Change,2022,3,12(5),412-414,10.1038/s41558-022-01332-6,https://doi.org/10.1038/s41558-022-01332-6,FALSE,,energy,steve-davis,,,,,,,"Global CO‚Äö√á√á emissions rebounded to near 2019 peaks in 2021, with power and industrial growth in China and India offsetting pandemic reductions.","Global CO‚Äö√á√á emissions in 2021 were only 1% less than the record levels of 2019, driven by increases in power- and industry-related emissions from China and India and a return of the carbon intensity of electricity to pre-pandemic levels. Is this resumed growth in fossil energy, or a final fleeting surge before a long decline?",energy,
"Davis, Steven J.; Mix, Hari T.; Wiegand, Bettina A.; Carroll, Alan R.; Page Chamberlain, C.",Synorogenic evolution of large-scale drainage patterns: Isotope paleohydrology of sequential Laramide basins,American Journal of Science,2009,9,309(7),549-602,10.2475/07.2009.02,https://doi.org/10.2475/07.2009.02,FALSE,,,steve-davis,,,,,,,Isotope analysis of ancient lake systems reveals how mountain building progressively disrupted and redirected river drainage across western North America.,"In the past decade, we and others have compiled an extensive dataset of O, C and Sr isotope stratigraphies from sedimentary basins throughout the Paleogene North American Cordillera. In this study, we present new results from the Piceance Creek Basin of northwest Colorado, which record the evolving hydrology of the Eocene Green River Lake system. We then place the new data in the context of the broader Cordilleran dataset and summarize implications for understanding the synorogenic evolution of large-scale drainage patterns. The combined data reflect (1) a period of throughgoing foreland rivers heading in the Sevier fold-and-thrust belt and flowing east,(2) ponding of freshwater lakes in the foredeep as Laramide uplifts blocked drainage,(3) hydrologic closure that led to both intensive evaporation in the terminal sink of the Piceance Creek Basin and integration of catchments over length-scales> 1000 km,(4) infilling of basin accommodation by southward migrating magmatism in distal catchments, leading to the freshening and demise of intraforeland lakes that also stepped south over time.",,
"Davis, Steven J.; Mulch, Andreas; Carroll, Alan R.; Horton, Travis W.; Page Chamberlain, C.",Paleogene landscape evolution of the central North American Cordillera: Developing topography and hydrology in the Laramide foreland,Geological Society of America Bulletin,2009,1,121(1-2),100-116,10.1130/b26308.1,https://doi.org/10.1130/b26308.1,FALSE,,,steve-davis,,,,,,,Paleogene lake deposits reveal that central North American mountains grew and catchments freshened between 45 and 35 million years ago.,"Isotopic and elemental records of authigenic calcite from lacustrine deposits in the intraforeland basins of Utah were analyzed in an effort to reconstruct the regional paleoclimate, paleohydrology, and paleotopography of the early Cenozoic central North American Cordillera. Isotopic profiles for Paleogene Lakes Uinta, Flagstaff, and Claron show relatively large oxygen isotopic shifts that are diachronous among basins with an ~7‚Äö√Ñ‚àû decrease in ≈í¬• 18 O calcite values at ca. 45 Ma in Lake Flagstaff, an ~5‚Äö√Ñ‚àû decrease in ≈í¬• 18 O calcite values between ca. 42 and 35 Ma in Lake Claron, and an ~6‚Äö√Ñ‚àû decrease in ≈í¬• 18 O calcite values between ca. 44 and 43 Ma in Lake Uinta. We interpret these negative oxygen isotopic shifts to be the combined result of increased hypsometric mean elevation of basin catchments and related freshening associated with basin infilling. The basins studied also have undergone periods of intense ‚Äö√Ñ¬∂",,
"Davis, Steven J.; Peters, Glen P.; Caldeira, Ken",The supply chain of CO‚Äö√á√á emissions,Proceedings of the National Academy of Sciences,2011,11,108(45),18554-18559,10.1073/pnas.1107409108,https://doi.org/10.1073/pnas.1107409108,FALSE,,trade,steve-davis,,,,,,,Tracking CO‚Äö√á√á across supply chains reveals that 60% of global emissions involve internationally traded fuels or goods.,"CO‚Äö√á√á emissions from the burning of fossil fuels are conventionally attributed to the country where the emissions are produced (i.e., where the fuels are burned). However, these production-based accounts represent a single point in the value chain of fossil fuels, which may have been extracted elsewhere and may be used to provide goods or services to consumers elsewhere. We present a consistent set of carbon inventories that spans the full supply chain of global CO‚Äö√á√á emissions, finding that 10.2 billion tons CO‚Äö√á√á or 37% of global emissions are from fossil fuels traded internationally and an additional 6.4 billion tons CO‚Äö√á√á or 23% of global emissions are embodied in traded goods. Our results reveal vulnerabilities and benefits related to current patterns of energy use that are relevant to climate and energy policy. In particular, if a consistent and unavoidable price were imposed on CO‚Äö√á√á emissions somewhere along the ‚Äö√Ñ¬∂",,mitigation:trade
"Davis, Steven J.; Shearer, Christine",A crack in the natural-gas bridge,Nature,2014,10,514(7523),436-437,10.1038/nature13927,https://www.nature.com/articles/nature13927,FALSE,,"energy,emissions",steve-davis,,,,,,,"Natural gas abundance fails to reduce emissions without stronger climate policies, according to integrated assessment modeling.","Integrated assessment models show that, without new climate policies, abundant supplies of natural gas will have little impact on greenhouse-gas emissions and climate change. See Letter p.482",energy,mitigation
"Davis, Steven J.; Socolow, Robert H.",Commitment accounting of CO‚Äö√á√á emissions,Environmental Research Letters,2014,8,9,84018,10.1088/1748-9326/9/8/084018,https://doi.org/10.1088/1748-9326/9/8/084018,FALSE,,energy,steve-davis,,,,,,,"Coal and gas plants built in 2012 will emit roughly 19 gigatons of CO‚Äö√á√á over their lifetimes, doubling current annual emissions.","The world not only continues to build new coal-fired power plants, but built more new coal plants in the past decade than in any previous decade. Worldwide, an average of 89 gigawatts per year (GW yr ‚Äö√Ñ√¨1 ) of new coal generating capacity was added between 2010 and 2012, 23 GW yr ‚Äö√Ñ√¨1 more than in the 2000‚Äö√Ñ√¨2009 time period and 56 GW yr ‚Äö√Ñ√¨1 more than in the 1990‚Äö√Ñ√¨1999 time period. Natural gas plants show a similar pattern. Assuming these plants operate for 40 years, the fossil-fuel burning plants built in 2012 will emit approximately 19 billion tons of CO‚Äö√á√á (Gt CO‚Äö√á√á ) over their lifetimes, versus 14 Gt CO‚Äö√á√á actually emitted by all operating fossil fuel power plants in 2012. We find that total committed emissions related to the power sector are growing at a rate of about 4% per year, and reached 307 (with an estimated uncertainty of 192‚Äö√Ñ√¨439) Gt CO‚Äö√á√á in 2012. These facts are not well known in the energy policy community ‚Äö√Ñ¬∂",energy,
"Davis, Steven J.; Sweeney, James",The Carbon Footprint of Fat Tire¬¨√Ü Amber Ale,"The Climate Conservancy, http://www.ess.uci.edu/~sjdavis/pubs/Fat_Tire_2008.pdf",2008,,,,,,FALSE,IGNORE,,steve-davis,,,,,,,,,,
"Davis, Steven J.; Taneja, Jay",Without a back-up plan,Nature Sustainability,2018,10,1(10),538-539,10.1038/s41893-018-0158-1,https://doi.org/10.1038/s41893-018-0158-1,FALSE,,"air pollution,energy",steve-davis,,,,,,,Reliable electricity access in developing countries reduces environmental damage while supporting economic and social progress.,A reliable power supply in developing countries can help socio-economic development efforts. Now research shows that it would also avoid significant environmental impacts.,energy,impacts:air-pollution
"Davis, Steven J.; Wiegand, Bettina A.; Carroll, Alan R.; Page Chamberlain, C.",The effect of drainage reorganization on paleoaltimetry studies: An example from the Paleogene Laramide foreland,Earth and Planetary Science Letters,2008,11,275(3-4),258-268,10.1016/j.epsl.2008.08.009,https://doi.org/10.1016/j.epsl.2008.08.009,FALSE,,,steve-davis,,,,,,,"Drainage reorganization in ancient Utah lakes shifted isotope signatures, complicating efforts to determine past mountain elevations from rock chemistry.","Using multiple isotope systems, we examine the complex effects of drainage reorganization in the Laramide Foreland in the context of stable isotope paleoaltimetry. Strontium, oxygen and carbon isotopic data from lacustrine carbonates formed in the southwestern Uinta Basin, Utah between the Late Cretaceous and late Middle Eocene reveal a two stage expansion in the drainage basin of Lake Uinta beginning at ~53 Ma culminating in the Mahogany highstand at 48.6 Ma. A marked increase in 87 Sr/ 86 Sr ratios of samples from the Main Body of the Green River Formation is interpreted as the result of water overflowing the Greater Green River Basin in Wyoming and entering Lake Uinta from the east via the Piceance Creek Basin of northwestern Colorado. This large new source of water caused a rapid expansion of Lake Uinta and was accompanied by a significant and rapid increase in the O isotope record of ‚Äö√Ñ¬∂",,
"DeAngelo, Julianne; Azevedo, In‚àö‚Ñ¢s; Bistline, John; Clarke, Leon; Luderer, Gunnar; Byers, Edward; Davis, Steven J.",Energy systems in scenarios at net-zero CO‚Äö√á√á emissions,Nature Communications,2021,10,12,6069,10.1038/s41467-021-26356-y,https://doi.org/10.1038/s41467-021-26356-y,FALSE,,"energy,emissions",steve-davis,,,,,,,"Net-zero scenarios show renewables reaching 60% of primary energy, with electricity doubling to half of final energy use.","Achieving net-zero CO‚Äö√á√á emissions has become the explicitgoal of many climate-energy policies around the world. Although many studies have assessed net-zero emissions pathways, the common features and tradeoffs of energy systems across global scenarios at the point of net-zero CO‚Äö√á√á emissions have not yet been evaluated. Here, we examine the energy systems of 177 net-zero scenarios and discuss their long-term technological and regional characteristics in the context of current energy policies. We find that, on average, renewable energy sources account for 60% of primary energy at net-zero (compared to ‚Äö√†¬∫14% today), with slightly less than half of that renewable energy derived from biomass. Meanwhile, electricity makes up approximately half of final energy consumed (compared to ‚Äö√†¬∫20% today), highlighting the extent to which solid, liquid, and gaseous fuels remain prevalent in the scenarios even ‚Äö√Ñ¬∂",energy,mitigation
"DeAngelo, Julianne; Saenz, Benjamin T.; Arzeno-Soltero, Isabella B.; Frieder, Christina A.; Long, Matthew C.; Hamman, Joseph; Davis, Kristen A.; Davis, Steven J.",Economic and biophysical limits to seaweed farming for climate change mitigation,Nature Plants,2022,12,9(1),45-57,10.1038/s41477-022-01305-9,https://doi.org/10.1038/s41477-022-01305-9,TRUE,,"carbon management,food",steve-davis,,,,,,underwater.jpg,Seaweed farming for climate mitigation costs $480‚Äö√Ñ√¨beyond profitable levels‚Äö√Ñ√Æexcept when producing valuable products instead of sinking biomass.,"Net-zero greenhouse gas (GHG) emissions targets are driving interest in opportunities for biomass-based negative emissions and bioenergy, including from marine sources such as seaweed. Yet the biophysical and economic limits to farming seaweed at scales relevant to the global carbon budget have not been assessed in detail. We use coupled seaweed growth and technoeconomic models to estimate the costs of global seaweed production and related climate benefits, systematically testing the relative importance of model parameters. Under our most optimistic assumptions, sinking farmed seaweed to the deep sea to sequester a gigaton of CO‚Äö√á√á per year costs as little as US$480 per tCO 2 on average, while using farmed seaweed for products that avoid a gigaton of CO‚Äö√á√á -equivalent GHG emissions annually could return a profit of $50 per tCO 2 -eq. However, these costs depend on low farming costs, high ‚Äö√Ñ¬∂",food,mitigation:carbon-management
"Deng, Zhu; Ciais, Philippe; Tzompa-Sosa, Zitely A.; Saunois, Marielle; Qiu, Chunjing; Tan, Chang; Sun, Taochun; Ke, Piyu; Cui, Yanan; Tanaka, Katsumasa; Lin, Xin; Thompson, Rona L.; Tian, Hanqin; Yao, Yuanzhi; Huang, Yuanyuan; Lauerwald, Ronny; Jain, Atul K.; Xu, Xiaoming; Bastos, Ana; Sitch, Stephen; Palmer, Paul I.; Lauvaux, Thomas; d'Aspremont, Alexandre; Giron, Cl‚àö¬©ment; Benoit, Antoine; Poulter, Benjamin; Chang, Jinfeng; Petrescu, Ana M. R.; Davis, Steven J.; Liu, Zhu; Grassi, Giacomo; Albergel, Cl‚àö¬©ment; Tubiello, Francesco N.; Perugini, Lucia; Peters, Wouter; Chevallier, Fr‚àö¬©d‚àö¬©ric",Comparing national greenhouse gas budgets reported in UNFCCC inventories against atmospheric inversions,Earth System Science Data,2022,4,14(4),1639‚Äö√Ñ√¨1675,10.5194/essd-14-1639-2022,https://doi.org/10.5194/essd-14-1639-2022,FALSE,,"land,emissions",steve-davis,,,,,,,Atmospheric measurements reveal significant discrepancies between countries' reported greenhouse gas emissions and independent calculations based on air samples.,"In support of the global stocktake of the Paris Agreement on climate change, this study presents a comprehensive framework to process the results of an ensemble of atmospheric inversions in order to make their net ecosystem exchange (NEE) carbon dioxide (CO‚Äö√á√á ) flux suitable for evaluating national greenhouse gas inventories (NGHGIs) submitted by countries to the United Nations Framework Convention on Climate Change (UNFCCC). From inversions we also deduced anthropogenic methane (CH‚Äö√á√ë ) emissions regrouped into fossil and agriculture and waste emissions, as well as anthropogenic nitrous oxide (N‚Äö√á√áO) emissions. To compare inversion results with national reports, we compiled a new global harmonized database of emissions and removals from periodical UNFCCC inventories by Annex I countries, and from sporadic and less detailed emissions reports by non-Annex I countries, given by national communications and biennial update reports. No gap filling was applied. The method to reconcile inversions with inventories is applied to selected large countries covering ‚Äö√†¬∫90 % of the global land carbon uptake for CO‚Äö√á√á and top emitters of CH‚Äö√á√ë and N‚Äö√á√áO. Our method uses results from an ensemble of global inversions produced by the Global Carbon Project for the three greenhouse gases, with ancillary data. We examine the role of CO‚Äö√á√á fluxes caused by lateral transfer processes from rivers and from trade in crop and wood products and the role of carbon uptake in unmanaged lands, both not accounted for by NGHGIs. Here we show that, despite a large spread across the inversions, the median of available inversion models points to a ‚Äö√Ñ¬∂",food,mitigation
